,"X,Y","""Lab ERNC""
00:90:4C:91:00:03","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Vibraciones""
50:C7:BF:DD:C3:B3","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Docentes FI""
0E:18:D6:CB:01:A4","""Microondas""
48:F8:B3:22:4D:4B","""CE5CFB""
98:FC:11:E2:A6:A5","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Die231""
EC:08:6B:42:B5:4A","""LabSerc 2.4""
94:10:3E:86:13:20","""Lab Energias Renovables""
F4:EC:38:D2:09:78"
0,"(0,1)",-76,-69,-75,-72,-77,-50,-78,-77,-72,-78,-73,-67,-88,-78,-75
1,"(0,1)",-76,-69,-74,-73,-77,-50,-78,-78,-74,-78,-73,-69,-88,-78,-74
2,"(0,1)",-77,-68,-74,-73,-77,-50,-78,-77,-74,-78,-73,-70,-89,-78,-74
3,"(0,1)",-77,-68,-74,-73,-77,-50,-77,-77,-73,-78,-73,-71,-89,-78,-74
4,"(0,1)",-77,-68,-74,-73,-77,-50,-77,-78,-73,-78,-73,-71,-89,-78,-74
5,"(0,1)",-77,-68,-74,-73,-77,-50,-77,-78,-73,-78,-73,-70,-89,-78,-75
6,"(0,1)",-77,-68,-74,-74,-77,-50,-77,-78,-73,-78,-73,-69,-89,-78,-75
7,"(0,1)",-77,-68,-74,-74,-77,-50,-77,-78,-72,-78,-73,-70,-89,-78,-74
8,"(0,1)",-77,-68,-74,-73,-77,-50,-77,-78,-72,-79,-73,-70,-89,-78,-75
9,"(0,1)",-76,-68,-74,-74,-77,-50,-77,-78,-72,-79,-72,-69,-89,-78,-74
10,"(0,1)",-76,-68,-75,-74,-77,-50,-77,-78,-72,-79,-72,-69,-90,-78,-74
11,"(0,1)",-77,-68,-74,-75,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78,-74
12,"(0,1)",-77,-68,-74,-75,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78,-75
13,"(0,1)",-77,-68,-74,-74,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78,-74
14,"(0,1)",-76,-68,-74,-74,-77,-50,-77,-78,-73,-79,-72,-69,-90,-78,-74
15,"(0,1)",-77,-68,-73,-74,-77,-50,-77,-78,-73,-79,-72,-69,-90,-78,-75
16,"(0,1)",-77,-68,-74,-74,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-75
17,"(0,1)",-77,-69,-73,-73,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-74
18,"(0,1)",-77,-69,-74,-72,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-74
19,"(0,1)",-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-74
20,"(0,1)",-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-71,-90,-78,-75
21,"(0,1)",-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-70,-90,-78,-75
22,"(0,1)",-75,-69,-74,-74,-77,-50,-77,-77,-72,-79,-72,-69,-90,-78,-75
23,"(0,1)",-76,-69,-74,-74,-77,-58,-77,-77,-72,-79,-72,-70,-90,-78,-75
24,"(0,1)",-75,-69,-74,-75,-77,-56,-77,-77,-72,-79,-72,-68,-90,-78,-74
25,"(0,1)",-73,-69,-74,-75,-77,-56,-78,-78,-72,-79,-72,-68,-90,-78,-74
26,"(0,1)",-73,-69,-74,-74,-77,-55,-78,-78,-72,-79,-72,-68,-90,-78,-75
27,"(0,1)",-75,-69,-74,-75,-77,-54,-78,-78,-72,-79,-72,-68,-90,-78,-75
28,"(0,1)",-76,-69,-74,-74,-77,-53,-78,-78,-72,-79,-72,-70,-90,-78,-76
29,"(0,1)",-76,-68,-73,-74,-77,-52,-78,-78,-72,-79,-72,-71,-90,-78,-75
30,"(0,1)",-77,-68,-73,-74,-77,-52,-78,-78,-72,-79,-72,-70,-90,-78,-76
31,"(0,1)",-77,-69,-74,-74,-77,-53,-78,-78,-73,-79,-72,-69,-90,-78,-76
32,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-74,-79,-72,-70,-89,-78,-75
33,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-72,-70,-89,-78,-75
34,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-74,-79,-72,-70,-89,-78,-74
35,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-72,-69,-89,-78,-75
36,"(0,1)",-76,-69,-75,-74,-77,-52,-78,-78,-73,-79,-72,-70,-89,-78,-74
37,"(0,1)",-75,-69,-74,-74,-77,-52,-78,-78,-74,-79,-71,-69,-89,-78,-74
38,"(0,1)",-75,-69,-74,-74,-77,-52,-78,-78,-75,-79,-71,-68,-89,-78,-74
39,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-74,-79,-71,-73,-89,-78,-75
40,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-73,-89,-78,-75
41,"(0,1)",-76,-69,-74,-73,-77,-52,-78,-78,-73,-79,-71,-71,-89,-78,-75
42,"(0,1)",-77,-69,-74,-73,-77,-52,-78,-78,-74,-79,-71,-70,-89,-78,-75
43,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-89,-78,-75
44,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-70,-89,-78,-74
45,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-69,-89,-78,-75
46,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-74,-79,-71,-68,-89,-78,-75
47,"(0,1)",-77,-69,-75,-73,-77,-52,-78,-78,-74,-79,-71,-70,-89,-78,-75
48,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-70,-89,-78,-74
49,"(0,1)",-77,-69,-74,-75,-77,-52,-78,-78,-73,-79,-71,-69,-89,-78,-75
50,"(0,1)",-77,-69,-74,-74,-77,-52,-77,-78,-73,-79,-71,-68,-89,-78,-75
51,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-89,-78,-74
52,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-87,-78,-74
53,"(0,1)",-78,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-87,-78,-74
54,"(0,1)",-78,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-70,-88,-78,-74
55,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-88,-78,-75
56,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-71,-88,-78,-75
57,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-69,-88,-78,-75
58,"(0,1)",-77,-69,-74,-75,-77,-52,-78,-78,-74,-79,-71,-70,-89,-78,-76
59,"(0,1)",-77,-69,-75,-74,-77,-52,-78,-78,-73,-79,-71,-68,-88,-79,-77
60,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-72,-79,-71,-68,-88,-79,-76
61,"(0,1)",-77,-69,-75,-74,-78,-52,-78,-78,-72,-79,-71,-67,-88,-79,-75
62,"(0,1)",-76,-69,-74,-74,-78,-52,-78,-78,-72,-79,-72,-68,-88,-79,-76
63,"(0,1)",-76,-69,-74,-74,-78,-52,-77,-78,-72,-79,-72,-69,-89,-79,-75
64,"(0,1)",-76,-69,-74,-75,-78,-52,-77,-78,-72,-79,-72,-69,-89,-79,-74
65,"(0,1)",-76,-69,-74,-75,-78,-52,-77,-78,-73,-79,-72,-68,-90,-79,-74
66,"(0,1)",-77,-69,-74,-74,-78,-52,-78,-78,-73,-79,-72,-69,-89,-79,-75
67,"(0,1)",-77,-69,-74,-75,-78,-52,-78,-78,-73,-79,-72,-68,-89,-79,-74
68,"(0,1)",-77,-69,-74,-74,-78,-52,-78,-78,-72,-79,-74,-68,-89,-79,-75
69,"(0,1)",-76,-69,-74,-74,-78,-52,-78,-78,-72,-79,-74,-69,-89,-79,-75
70,"(0,1)",-76,-69,-74,-74,-78,-52,-78,-78,-72,-79,-75,-69,-91,-79,-74
71,"(0,1)",-76,-68,-75,-75,-78,-52,-78,-78,-72,-79,-74,-71,-91,-79,-75
72,"(0,1)",-76,-68,-75,-75,-78,-52,-78,-78,-72,-79,-73,-69,-91,-79,-74
73,"(0,1)",-76,-68,-75,-74,-78,-52,-78,-78,-72,-79,-73,-69,-91,-79,-74
74,"(0,1)",-76,-68,-75,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-74
75,"(0,1)",-76,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-74
76,"(0,1)",-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-74
77,"(0,1)",-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-68,-91,-79,-74
78,"(0,1)",-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-68,-91,-79,-74
79,"(0,1)",-76,-68,-74,-73,-78,-52,-77,-78,-72,-79,-72,-69,-91,-79,-75
80,"(0,1)",-76,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-74
81,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-75
82,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-91,-79,-76
83,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-68,-91,-79,-75
84,"(0,1)",-77,-68,-75,-73,-78,-52,-78,-78,-72,-79,-72,-69,-90,-79,-75
85,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-70,-88,-79,-74
86,"(0,1)",-77,-68,-74,-73,-78,-52,-78,-78,-72,-79,-72,-70,-89,-79,-74
87,"(0,1)",-77,-68,-76,-73,-78,-52,-78,-78,-72,-79,-72,-69,-89,-79,-75
88,"(0,1)",-77,-68,-75,-74,-78,-52,-78,-78,-72,-79,-72,-70,-89,-79,-74
89,"(0,1)",-77,-68,-74,-74,-78,-52,-78,-78,-72,-79,-72,-69,-90,-79,-74
90,"(0,1)",-77,-68,-74,-75,-78,-52,-77,-78,-72,-79,-72,-70,-90,-79,-74
91,"(0,1)",-77,-68,-74,-75,-78,-52,-76,-78,-72,-79,-72,-70,-90,-79,-74
92,"(0,1)",-77,-69,-74,-75,-78,-52,-76,-78,-72,-79,-72,-70,-90,-79,-75
93,"(0,1)",-77,-69,-74,-75,-78,-52,-77,-78,-72,-79,-72,-70,-91,-79,-74
94,"(0,1)",-77,-69,-74,-75,-78,-53,-77,-82,-73,-79,-72,-70,-91,-79,-74
95,"(0,1)",-77,-69,-74,-75,-78,-52,-77,-80,-73,-79,-72,-70,-91,-79,-75
96,"(0,1)",-77,-69,-74,-75,-78,-52,-77,-80,-73,-79,-72,-70,-91,-79,-75
97,"(0,1)",-76,-69,-74,-75,-78,-52,-78,-79,-73,-79,-72,-70,-91,-79,-76
98,"(0,1)",-77,-69,-74,-76,-76,-52,-78,-79,-73,-79,-71,-72,-91,-79,-75
99,"(0,1)",-77,-69,-74,-76,-77,-52,-78,-79,-73,-79,-71,-72,-91,-79,-75
100,"(0,1)",-77,-69,-74,-76,-77,-52,-78,-79,-72,-79,-71,-69,-91,-79,-75
101,"(0,1)",-77,-68,-73,-75,-77,-52,-78,-79,-72,-79,-71,-69,-90,-79,-75
102,"(0,1)",-77,-68,-73,-77,-77,-52,-78,-78,-72,-79,-71,-70,-90,-79,-74
103,"(0,1)",-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-70,-90,-79,-74
104,"(0,1)",-77,-68,-74,-75,-77,-52,-78,-78,-72,-79,-71,-69,-90,-79,-75
105,"(0,1)",-77,-69,-74,-75,-77,-52,-77,-78,-72,-79,-71,-69,-90,-79,-75
106,"(0,1)",-77,-69,-74,-76,-77,-52,-77,-78,-72,-79,-71,-69,-90,-79,-75
107,"(0,1)",-77,-69,-74,-75,-77,-52,-77,-78,-73,-79,-71,-69,-90,-79,-75
108,"(0,1)",-77,-69,-74,-75,-77,-52,-77,-78,-74,-79,-71,-69,-90,-79,-74
109,"(0,1)",-75,-69,-74,-74,-77,-52,-77,-78,-74,-79,-71,-70,-90,-79,-74
110,"(0,1)",-75,-69,-74,-74,-77,-52,-78,-77,-73,-79,-71,-69,-90,-79,-74
111,"(0,1)",-75,-69,-75,-73,-77,-52,-77,-78,-72,-79,-71,-68,-90,-79,-74
112,"(0,1)",-74,-68,-74,-73,-77,-52,-77,-78,-72,-79,-71,-68,-89,-79,-74
113,"(0,1)",-73,-68,-74,-74,-77,-52,-76,-78,-73,-79,-71,-69,-89,-79,-74
114,"(0,1)",-72,-68,-74,-74,-77,-52,-77,-78,-73,-79,-71,-68,-89,-79,-74
115,"(0,1)",-74,-68,-74,-73,-77,-52,-77,-78,-73,-79,-71,-68,-89,-79,-75
116,"(0,1)",-75,-68,-74,-74,-77,-52,-78,-77,-73,-79,-71,-67,-89,-79,-75
117,"(0,1)",-73,-68,-73,-73,-77,-52,-78,-77,-72,-79,-71,-67,-89,-79,-75
118,"(0,1)",-75,-68,-73,-73,-77,-52,-77,-77,-73,-79,-71,-68,-89,-79,-77
119,"(0,1)",-74,-68,-73,-76,-77,-52,-77,-77,-73,-79,-71,-71,-89,-79,-77
120,"(0,1)",-75,-68,-73,-75,-77,-52,-78,-78,-73,-79,-71,-71,-89,-79,-77
121,"(0,1)",-75,-68,-73,-75,-77,-52,-78,-77,-73,-79,-71,-71,-89,-79,-77
122,"(0,1)",-75,-68,-73,-74,-77,-52,-78,-77,-73,-79,-71,-70,-89,-79,-77
123,"(0,1)",-76,-68,-73,-74,-77,-52,-78,-77,-72,-81,-71,-70,-91,-79,-77
124,"(0,1)",-77,-68,-73,-74,-77,-52,-78,-77,-72,-81,-71,-70,-91,-79,-77
125,"(0,1)",-77,-68,-73,-74,-77,-52,-78,-77,-73,-80,-71,-70,-91,-79,-75
126,"(0,1)",-77,-68,-73,-73,-77,-52,-78,-77,-73,-80,-71,-70,-90,-79,-74
127,"(0,1)",-77,-69,-73,-74,-78,-52,-78,-77,-72,-79,-71,-70,-90,-79,-76
128,"(0,1)",-77,-69,-74,-75,-77,-52,-78,-77,-72,-79,-71,-69,-90,-79,-75
129,"(0,1)",-77,-69,-74,-74,-77,-52,-78,-78,-73,-79,-71,-69,-90,-79,-76
130,"(0,1)",-77,-69,-73,-74,-77,-52,-78,-78,-73,-79,-71,-70,-89,-79,-76
131,"(0,1)",-76,-69,-74,-73,-77,-52,-78,-78,-73,-79,-71,-69,-89,-79,-77
132,"(0,1)",-76,-69,-74,-73,-77,-52,-77,-78,-73,-79,-71,-69,-89,-79,-77
133,"(0,1)",-76,-69,-74,-73,-77,-52,-77,-78,-72,-79,-71,-68,-89,-79,-77
134,"(0,1)",-75,-69,-74,-73,-76,-52,-78,-78,-72,-79,-71,-68,-89,-79,-77
135,"(0,1)",-75,-69,-74,-73,-76,-52,-78,-78,-72,-79,-71,-69,-89,-79,-77
136,"(0,1)",-75,-69,-74,-73,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-76
137,"(0,1)",-75,-69,-74,-73,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-75
138,"(0,1)",-75,-69,-74,-73,-77,-52,-78,-78,-73,-79,-71,-70,-89,-79,-75
139,"(0,1)",-75,-69,-74,-73,-77,-52,-78,-78,-73,-79,-71,-70,-89,-79,-75
140,"(0,1)",-75,-69,-73,-73,-77,-52,-78,-78,-73,-79,-71,-69,-89,-79,-75
141,"(0,1)",-75,-68,-73,-73,-77,-52,-78,-77,-72,-79,-71,-70,-89,-79,-75
142,"(0,1)",-76,-68,-73,-73,-77,-52,-78,-77,-72,-79,-71,-70,-89,-79,-75
143,"(0,1)",-76,-68,-73,-73,-77,-52,-78,-77,-72,-79,-71,-68,-89,-79,-75
144,"(0,1)",-77,-68,-74,-73,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
145,"(0,1)",-77,-68,-74,-73,-77,-52,-78,-78,-72,-82,-71,-70,-89,-79,-74
146,"(0,1)",-77,-68,-74,-73,-77,-52,-78,-78,-72,-81,-71,-69,-89,-79,-74
147,"(0,1)",-77,-68,-74,-73,-77,-52,-78,-78,-72,-80,-71,-69,-89,-79,-74
148,"(0,1)",-77,-68,-75,-73,-77,-52,-78,-78,-72,-80,-71,-70,-91,-79,-74
149,"(0,1)",-77,-68,-74,-73,-77,-52,-77,-78,-72,-80,-71,-70,-91,-79,-75
150,"(0,1)",-77,-68,-74,-72,-77,-52,-78,-78,-72,-80,-71,-70,-91,-79,-76
151,"(0,1)",-77,-68,-73,-72,-77,-52,-77,-78,-72,-80,-71,-69,-91,-79,-75
152,"(0,1)",-77,-68,-73,-72,-77,-52,-76,-78,-72,-80,-71,-70,-91,-79,-74
153,"(0,1)",-77,-68,-73,-73,-76,-52,-75,-78,-72,-79,-71,-70,-91,-79,-74
154,"(0,1)",-77,-68,-74,-73,-76,-52,-76,-78,-72,-79,-71,-70,-91,-79,-74
155,"(0,1)",-77,-68,-74,-73,-77,-52,-76,-78,-72,-79,-71,-70,-91,-79,-75
156,"(0,1)",-77,-68,-74,-74,-77,-52,-77,-78,-73,-79,-71,-70,-91,-79,-74
157,"(0,1)",-77,-68,-74,-74,-77,-52,-77,-78,-73,-79,-71,-70,-91,-79,-74
158,"(0,1)",-77,-68,-74,-75,-77,-52,-77,-78,-73,-79,-71,-70,-91,-79,-74
159,"(0,1)",-77,-68,-73,-75,-77,-52,-78,-78,-74,-79,-71,-70,-90,-79,-74
160,"(0,1)",-77,-68,-73,-75,-77,-52,-78,-78,-73,-79,-71,-69,-90,-79,-75
